---- Page: "Statistics [Mixed Mode]"
---- Chart: elektr10_2_3.ewb
Parameter	Value
Initial TStep	0.00000
Initial TMax	0.00000
Nominal temperature	0.00000
Operating temperature	0.00000
Total iterations	0.00000
Transient iterations	0.00000
Circuit Equations	0.00000
Transient timepoints	0.00000
Accepted timepoints	0.00000
Rejected timepoints	0.00000
Total Analysis Time	0.00000
Transient time	0.00000
matrix reordering time	0.00000
L-U decomposition time	0.00000
Matrix solve time	0.00000
transient L-U decomp time	0.00000
Transient solve time	0.00000
Transient iters per point	0.00000
Load time	0.00000
---- End Chart: elektr10_2_3.ewb
---- End Page: "Statistics [Mixed Mode]"

---- Page: "Logic Analyzer"
---- Graph: 
---- Left Axis: LINEAR "Logic Waveforms"
---- Bottom Axis: LINEAR "Sample Points"
---- Trace: 1 LEFT BOTTOM "Trace 3"
0.000000000000e+000	1.000000000000e+000
1.000000000000e+000	1.000000000000e+000
1.000000000000e+000	1.000000000000e+000
2.000000000000e+000	1.000000000000e+000
2.000000000000e+000	1.000000000000e+000
3.000000000000e+000	1.000000000000e+000
3.000000000000e+000	1.000000000000e+000
4.000000000000e+000	1.000000000000e+000
4.000000000000e+000	1.000000000000e+000
5.000000000000e+000	1.000000000000e+000
5.000000000000e+000	1.000000000000e+000
6.000000000000e+000	1.000000000000e+000
6.000000000000e+000	1.000000000000e+000
7.000000000000e+000	1.000000000000e+000
7.000000000000e+000	1.000000000000e+000
8.000000000000e+000	1.000000000000e+000
8.000000000000e+000	1.000000000000e+000
9.000000000000e+000	1.000000000000e+000
9.000000000000e+000	1.000000000000e+000
1.000000000000e+001	1.000000000000e+000
1.000000000000e+001	1.000000000000e+000
1.100000000000e+001	1.000000000000e+000
1.100000000000e+001	1.000000000000e+000
1.200000000000e+001	1.000000000000e+000
1.200000000000e+001	1.000000000000e+000
1.300000000000e+001	1.000000000000e+000
1.300000000000e+001	1.000000000000e+000
1.400000000000e+001	1.000000000000e+000
1.400000000000e+001	1.000000000000e+000
1.500000000000e+001	1.000000000000e+000
1.500000000000e+001	1.000000000000e+000
1.600000000000e+001	1.000000000000e+000
1.600000000000e+001	1.000000000000e+000
1.700000000000e+001	1.000000000000e+000
1.700000000000e+001	1.000000000000e+000
